Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Arizona
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	2.7328
443	2.7891
515	2.8639
658	2.9604
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
132	 0.0018080	 0.0014414	 0.0013738	 0.0011383
133	 0.0017809	 0.0014312	 0.0013620	 0.0011304
134	 0.0017661	 0.0014255	 0.0013509	 0.0011238
135	 0.0017479	 0.0014175	 0.0013426	 0.0011186
136	 0.0017327	 0.0014115	 0.0013420	 0.0011143
137	 0.0017173	 0.0014098	 0.0013330	 0.0011083
138	 0.0016973	 0.0014040	 0.0013248	 0.0011096
139	 0.0016806	 0.0013993	 0.0013131	 0.0011062
140	 0.0016676	 0.0013926	 0.0013043	 0.0011063
141	 0.0016571	 0.0013938	 0.0013009	 0.0011095
142	 0.0016520	 0.0014025	 0.0013004	 0.0011130
143	 0.0016449	 0.0014085	 0.0013020	 0.0011152
144	 0.0016436	 0.0014076	 0.0013013	 0.0011227
145	 0.0016397	 0.0014052	 0.0013014	 0.0011280
146	 0.0016447	 0.0014128	 0.0013025	 0.0011307
147	 0.0016465	 0.0014280	 0.0013059	 0.0011385
148	 0.0016487	 0.0014404	 0.0013134	 0.0011485
149	 0.0016573	 0.0014587	 0.0013212	 0.0011619
150	 0.0016819	 0.0014790	 0.0013389	 0.0011803
151	 0.0017005	 0.0014954	 0.0013518	 0.0012066
152	 0.0017184	 0.0015183	 0.0013675	 0.0012279
153	 0.0017370	 0.0015394	 0.0013873	 0.0012496
154	 0.0017580	 0.0015804	 0.0014044	 0.0012585
155	 0.0017849	 0.0016128	 0.0014304	 0.0012767
156	 0.0018213	 0.0016414	 0.0014639	 0.0013016
157	 0.0018663	 0.0016824	 0.0015092	 0.0013337
158	 0.0019152	 0.0017345	 0.0015636	 0.0013803
159	 0.0019718	 0.0017880	 0.0016090	 0.0014349
