wl	aw	bbw	aphy	adg	bbp
462	0.009955455	0.002039697	0.27044048	0.153849679	0.113829287
464	0.010117647	0.001999412	0.266419295	0.149302734	0.113578556
466	0.010276471	0.001964118	0.262396867	0.144890171	0.113329451
468	0.010445882	0.001928824	0.258347297	0.140608019	0.113081957
470	0.010622353	0.001893529	0.254279633	0.136452424	0.112836055
472	0.011021818	0.001862727	0.249562891	0.132419646	0.112591728
474	0.011444412	0.001831176	0.244774156	0.128506054	0.11234896
476	0.011862059	0.001795882	0.239985802	0.124708126	0.112107734
478	0.012283333	0.001763333	0.235265379	0.121022444	0.111868035
480	0.012707576	0.00173303	0.230600537	0.11744569	0.111629846
482	0.013162941	0.001703529	0.227675787	0.113974645	0.111393151
484	0.013622121	0.001673939	0.224944162	0.110606186	0.111157935
486	0.014082727	0.001643636	0.222211663	0.107337279	0.110924182
488	0.014571471	0.001613824	0.219440446	0.104164983	0.110691879
490	0.015083235	0.001584412	0.21663755	0.101086442	0.110461008
492	0.01607697	0.001554242	0.213214585	0.098098886	0.110231557
494	0.017156471	0.001525294	0.209682495	0.095199626	0.11000351
496	0.018238824	0.001501765	0.206151602	0.092386052	0.109776854
498	0.019397647	0.001475294	0.202548233	0.089655632	0.109551574
500	0.020632941	0.001445882	0.198872388	0.087005907	0.109327656
502	0.022819394	0.001425455	0.194347153	0.084434494	0.109105087
504	0.025242647	0.001405588	0.189609517	0.081939078	0.108883854
506	0.027660294	0.001376176	0.184871578	0.079517412	0.108663943
508	0.03004	0.001351818	0.180156433	0.077167317	0.10844534
510	0.032373333	0.001333636	0.175469147	0.074886678	0.108228034
512	0.034181176	0.001311176	0.171069076	0.072673442	0.108012011
514	0.035857879	0.001287576	0.16674079	0.070525618	0.10779726
516	0.037536667	0.001263333	0.162412343	0.068441271	0.107583766
518	0.039140294	0.001242059	0.158120597	0.066418525	0.107371519
520	0.040652059	0.001224412	0.153873706	0.064455561	0.107160506
522	0.041402727	0.001206364	0.149980317	0.062550612	0.106950716
524	0.0419	0.001187647	0.146204647	0.060701962	0.106742136
526	0.0424	0.001164118	0.142427938	0.058907948	0.106534755
528	0.042918182	0.001142727	0.138680693	0.057166955	0.106328562
530	0.043463636	0.001124545	0.134977644	0.055477416	0.106123545
532	0.0442	0.001106765	0.131580031	0.05383781	0.105919693
534	0.045	0.001089118	0.12828423	0.052246663	0.105716996
536	0.0458	0.001071471	0.124988428	0.05070254	0.105515442
538	0.046665758	0.001053636	0.121658661	0.049204054	0.105315021
540	0.047653636	0.001035455	0.118265815	0.047749854	0.105115722
542	0.049222353	0.001021765	0.114568363	0.046338633	0.104917535
544	0.05104	0.00101	0.110740366	0.044969119	0.10472045
546	0.052858182	0.000991818	0.106913272	0.043640081	0.104524456
548	0.054624706	0.000975882	0.103068393	0.042350322	0.104329543
550	0.056295294	0.000964118	0.099190484	0.04109868	0.104135703
552	0.057581212	0.000948182	0.095183388	0.039884031	0.103942923
554	0.05866	0.00093	0.09110673	0.03870528	0.103751196
556	0.059742353	0.000918235	0.087027714	0.037561366	0.103560512
558	0.060850909	0.000904545	0.083053399	0.03645126	0.103370861
560	0.062020606	0.000886364	0.079323388	0.035373962	0.103182234
562	0.063420294	0.000872353	0.076431253	0.034328504	0.102994622
564	0.064943824	0.000860588	0.073990282	0.033313943	0.102808015
566	0.066461765	0.000848824	0.071548966	0.032329367	0.102622405
568	0.068131818	0.00083697	0.069202432	0.03137389	0.102437784
570	0.070259091	0.000824848	0.067140303	0.030446651	0.102254142
572	0.073520588	0.000812941	0.065787572	0.029546817	0.10207147
574	0.077538235	0.000801176	0.064907774	0.028673576	0.101889761
576	0.081561818	0.000789091	0.064028107	0.027826144	0.101709005
578	0.085919706	0.000777059	0.063150954	0.027003757	0.101529195
580	0.091278529	0.000765294	0.062281301	0.026205676	0.101350323
582	0.098696667	0.000753333	0.061433884	0.025431181	0.101172379
584	0.107799697	0.000741212	0.06060466	0.024679576	0.100995357
586	0.1169	0.000729412	0.059771461	0.023950184	0.100819249
588	0.126456364	0.000717576	0.05893458	0.023242349	0.100644045
590	0.137838182	0.000705455	0.058084738	0.022555434	0.10046974
592	0.152562353	0.000696765	0.05720385	0.02188882	0.100296325
594	0.170021176	0.000690882	0.056297561	0.021241908	0.100123793
596	0.187481515	0.000679697	0.055390977	0.020614115	0.099952135
598	0.204408824	0.000667647	0.054627317	0.020004875	0.099781346
600	0.219202941	0.000655882	0.054435562	0.019413642	0.099611417
602	0.2308	0.00064697	0.05510239	0.018839882	0.099442342
604	0.2392	0.000640909	0.056627801	0.01828308	0.099274113
606	0.2476	0.00063	0.058152962	0.017742733	0.099106724
608	0.255719091	0.000619091	0.05970028	0.017218356	0.098940166
610	0.262246364	0.00061303	0.061373401	0.016709477	0.098774435
612	0.266618824	0.000607059	0.063216739	0.016215637	0.098609522
614	0.268836471	0.000601176	0.065230295	0.015736392	0.098445421
616	0.271059394	0.000590303	0.06724318	0.015271312	0.098282125
