wl a_phy_star_GH2017 a_phy_star_Ciotti
540 0.0083362424885237 0.0078177134458647
541 0.00819634382170614 0.0076865167238231
542 0.00805644515488858 0.0075553200017815
543 0.00794109011382848 0.00744714024851913
544 0.00782573507276839 0.00733896049525676
545 0.00767847331822358 0.00720085868258139
546 0.00753121156367878 0.00706275686990603
547 0.00740419830038389 0.00694364405647352
548 0.007277185037089 0.00682453124304102
549 0.00714833100186229 0.00670369215695007
550 0.00701947696663559 0.00658285307085913
551 0.00681760564478043 0.00639353850264998
552 0.00661573432292526 0.00620422393444083
553 0.0064893346502743 0.00608568654522781
554 0.00636293497762335 0.00596714915601479
555 0.00619051600667714 0.00580545495034071
556 0.00601809703573093 0.00564376074466664
557 0.00587083528118613 0.00550565893199127
558 0.00572357352664133 0.0053675571193159
559 0.00563092133940689 0.00528066806217432
