"nom du projet";"nom du site";"nom de la plateforme";"date prélèvement";"profondeur min réelle observée (m)";"profondeur max réelle observée (m)";"chlorophylle a strickland-parsons (µg/l)";"chlorophylle a scor-unesco (µg/l)"
"Suivi des lacs";"Léman";"SHL2";01/20/03;0;0;;"1.27"
"Suivi des lacs";"Léman";"SHL2";01/20/03;1;1;;"1.32"
"Suivi des lacs";"Léman";"SHL2";01/20/03;2;2;;"1.33"
"Suivi des lacs";"Léman";"SHL2";01/20/03;"3.5";"3.5";;"1.37"
"Suivi des lacs";"Léman";"SHL2";01/20/03;5;5;;"1.32"
"Suivi des lacs";"Léman";"SHL2";01/20/03;"7.5";"7.5";;"1.38"
"Suivi des lacs";"Léman";"SHL2";01/20/03;10;10;;"1.33"
"Suivi des lacs";"Léman";"SHL2";01/20/03;15;15;;"1.26"
"Suivi des lacs";"Léman";"SHL2";01/20/03;20;20;;"1.26"
"Suivi des lacs";"Léman";"SHL2";01/20/03;30;30;;"1.27"
"Suivi des lacs";"Léman";"SHL2";02/20/03;0;0;;"0.85"
"Suivi des lacs";"Léman";"SHL2";02/20/03;1;1;;"0.85"
"Suivi des lacs";"Léman";"SHL2";02/20/03;2;2;;"0.9"
"Suivi des lacs";"Léman";"SHL2";02/20/03;"3.5";"3.5";;"0.94"
"Suivi des lacs";"Léman";"SHL2";02/20/03;5;5;;"0.8"
"Suivi des lacs";"Léman";"SHL2";02/20/03;"7.5";"7.5";;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;10;10;;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;15;15;;"0.86"
"Suivi des lacs";"Léman";"SHL2";02/20/03;20;20;;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;30;30;;"0.99"
"Suivi des lacs";"Léman";"SHL2";03/10/03;0;0;;"5.85"
"Suivi des lacs";"Léman";"SHL2";03/10/03;1;1;;"5.61"
"Suivi des lacs";"Léman";"SHL2";03/10/03;2;2;;"5.94"
"Suivi des lacs";"Léman";"SHL2";03/10/03;"3.5";"3.5";;"5.87"
"Suivi des lacs";"Léman";"SHL2";03/10/03;5;5;;"5.27"
"Suivi des lacs";"Léman";"SHL2";03/10/03;"7.5";"7.5";;"5.28"
"Suivi des lacs";"Léman";"SHL2";03/10/03;10;10;;"3.92"
"Suivi des lacs";"Léman";"SHL2";03/10/03;15;15;;"3.01"
"Suivi des lacs";"Léman";"SHL2";03/10/03;20;20;;"2.41"
"Suivi des lacs";"Léman";"SHL2";03/10/03;30;30;;"1.37"
"Suivi des lacs";"Léman";"SHL2";03/24/03;0;0;;"14.01"
"Suivi des lacs";"Léman";"SHL2";03/24/03;1;1;;"14.83"
"Suivi des lacs";"Léman";"SHL2";03/24/03;2;2;;15
"Suivi des lacs";"Léman";"SHL2";03/24/03;"3.5";"3.5";;"14.39"
"Suivi des lacs";"Léman";"SHL2";03/24/03;5;5;;"13.86"
"Suivi des lacs";"Léman";"SHL2";03/24/03;"7.5";"7.5";;"15.35"
"Suivi des lacs";"Léman";"SHL2";03/24/03;10;10;;"12.08"
"Suivi des lacs";"Léman";"SHL2";03/24/03;15;15;;"5.93"
"Suivi des lacs";"Léman";"SHL2";03/24/03;20;20;;3
"Suivi des lacs";"Léman";"SHL2";03/24/03;30;30;;"2.43"
"Suivi des lacs";"Léman";"SHL2";04/14/03;0;0;;"3.21"
"Suivi des lacs";"Léman";"SHL2";04/14/03;1;1;;"3.5"
"Suivi des lacs";"Léman";"SHL2";04/14/03;2;2;;"3.5"
"Suivi des lacs";"Léman";"SHL2";04/14/03;"3.5";"3.5";;"3.17"
"Suivi des lacs";"Léman";"SHL2";04/14/03;5;5;;"2.83"
"Suivi des lacs";"Léman";"SHL2";04/14/03;"7.5";"7.5";;"2.48"
"Suivi des lacs";"Léman";"SHL2";04/14/03;10;10;;"2.86"
"Suivi des lacs";"Léman";"SHL2";04/14/03;15;15;;"2.56"
"Suivi des lacs";"Léman";"SHL2";04/14/03;20;20;;"2.58"
"Suivi des lacs";"Léman";"SHL2";04/14/03;30;30;;2
"Suivi des lacs";"Léman";"SHL2";04/28/03;0;0;;"10.21"
"Suivi des lacs";"Léman";"SHL2";04/28/03;1;1;;"14.05"
"Suivi des lacs";"Léman";"SHL2";04/28/03;2;2;;"18.8"
"Suivi des lacs";"Léman";"SHL2";04/28/03;"3.5";"3.5";;"17.69"
"Suivi des lacs";"Léman";"SHL2";04/28/03;5;5;;"16.25"
"Suivi des lacs";"Léman";"SHL2";04/28/03;"7.5";"7.5";;"14.01"
"Suivi des lacs";"Léman";"SHL2";04/28/03;10;10;;"8.68"
"Suivi des lacs";"Léman";"SHL2";04/28/03;15;15;;"6.3"
"Suivi des lacs";"Léman";"SHL2";04/28/03;20;20;;"2.89"
"Suivi des lacs";"Léman";"SHL2";04/28/03;30;30;;"0.94"
"Suivi des lacs";"Léman";"SHL2";05/12/03;0;0;;"2.31"
"Suivi des lacs";"Léman";"SHL2";05/12/03;1;1;;"2.48"
"Suivi des lacs";"Léman";"SHL2";05/12/03;2;2;;"2.18"
"Suivi des lacs";"Léman";"SHL2";05/12/03;"3.5";"3.5";;"2.42"
"Suivi des lacs";"Léman";"SHL2";05/12/03;5;5;;"1.89"
"Suivi des lacs";"Léman";"SHL2";05/12/03;"7.5";"7.5";;3
"Suivi des lacs";"Léman";"SHL2";05/12/03;10;10;;"6.56"
"Suivi des lacs";"Léman";"SHL2";05/12/03;15;15;;"1.78"
"Suivi des lacs";"Léman";"SHL2";05/12/03;20;20;;"0.76"
"Suivi des lacs";"Léman";"SHL2";05/12/03;30;30;;"0.54"
"Suivi des lacs";"Léman";"SHL2";05/27/03;0;0;;"4.27"
"Suivi des lacs";"Léman";"SHL2";05/27/03;1;1;;"6.32"
"Suivi des lacs";"Léman";"SHL2";05/27/03;2;2;;"6.91"
"Suivi des lacs";"Léman";"SHL2";05/27/03;"3.5";"3.5";;"7.8"
"Suivi des lacs";"Léman";"SHL2";05/27/03;5;5;;"6.36"
"Suivi des lacs";"Léman";"SHL2";05/27/03;"7.5";"7.5";;"3.88"
"Suivi des lacs";"Léman";"SHL2";05/27/03;10;10;;"2.55"
"Suivi des lacs";"Léman";"SHL2";05/27/03;15;15;;"0.88"
"Suivi des lacs";"Léman";"SHL2";05/27/03;20;20;;"0.58"
"Suivi des lacs";"Léman";"SHL2";05/27/03;30;30;;"0.4"
"Suivi des lacs";"Léman";"SHL2";06/10/03;0;0;;"2.93"
"Suivi des lacs";"Léman";"SHL2";06/10/03;1;1;;"4.16"
"Suivi des lacs";"Léman";"SHL2";06/10/03;2;2;;"5.42"
"Suivi des lacs";"Léman";"SHL2";06/10/03;"3.5";"3.5";;"7.35"
"Suivi des lacs";"Léman";"SHL2";06/10/03;5;5;;"11.29"
"Suivi des lacs";"Léman";"SHL2";06/10/03;"7.5";"7.5";;"38.95"
"Suivi des lacs";"Léman";"SHL2";06/10/03;10;10;;"10.54"
"Suivi des lacs";"Léman";"SHL2";06/10/03;15;15;;"2.6"
"Suivi des lacs";"Léman";"SHL2";06/10/03;20;20;;"1.66"
"Suivi des lacs";"Léman";"SHL2";06/10/03;30;30;;"0.56"
"Suivi des lacs";"Léman";"SHL2";06/23/03;0;0;;"3.04"
"Suivi des lacs";"Léman";"SHL2";06/23/03;1;1;;"3.33"
"Suivi des lacs";"Léman";"SHL2";06/23/03;2;2;;"3.42"
"Suivi des lacs";"Léman";"SHL2";06/23/03;"3.5";"3.5";;"3.71"
"Suivi des lacs";"Léman";"SHL2";06/23/03;5;5;;"9.62"
"Suivi des lacs";"Léman";"SHL2";06/23/03;"7.5";"7.5";;"11.19"
"Suivi des lacs";"Léman";"SHL2";06/23/03;10;10;;"7.15"
"Suivi des lacs";"Léman";"SHL2";06/23/03;15;15;;"4.53"
"Suivi des lacs";"Léman";"SHL2";06/23/03;20;20;;"2.55"
"Suivi des lacs";"Léman";"SHL2";06/23/03;30;30;;"1.01"
"Suivi des lacs";"Léman";"SHL2";07/07/03;0;0;;"3.08"
"Suivi des lacs";"Léman";"SHL2";07/07/03;1;1;;"3.89"
"Suivi des lacs";"Léman";"SHL2";07/07/03;2;2;;"4.45"
"Suivi des lacs";"Léman";"SHL2";07/07/03;"3.5";"3.5";;"4.64"
"Suivi des lacs";"Léman";"SHL2";07/07/03;5;5;;"4.55"
"Suivi des lacs";"Léman";"SHL2";07/07/03;"7.5";"7.5";;"5.18"
"Suivi des lacs";"Léman";"SHL2";07/07/03;10;10;;"6.36"
"Suivi des lacs";"Léman";"SHL2";07/07/03;15;15;;"3.22"
"Suivi des lacs";"Léman";"SHL2";07/07/03;20;20;;"1.06"
"Suivi des lacs";"Léman";"SHL2";07/07/03;30;30;;"0.88"
"Suivi des lacs";"Léman";"SHL2";07/22/03;0;0;;"4.69"
"Suivi des lacs";"Léman";"SHL2";07/22/03;1;1;;"5.01"
"Suivi des lacs";"Léman";"SHL2";07/22/03;2;2;;"4.85"
"Suivi des lacs";"Léman";"SHL2";07/22/03;"3.5";"3.5";;"5.61"
"Suivi des lacs";"Léman";"SHL2";07/22/03;5;5;;"7.83"
"Suivi des lacs";"Léman";"SHL2";07/22/03;"7.5";"7.5";;"12.51"
"Suivi des lacs";"Léman";"SHL2";07/22/03;10;10;;"15.84"
"Suivi des lacs";"Léman";"SHL2";07/22/03;15;15;;"2.55"
"Suivi des lacs";"Léman";"SHL2";07/22/03;20;20;;"1.19"
"Suivi des lacs";"Léman";"SHL2";07/22/03;30;30;;"0.85"
"Suivi des lacs";"Léman";"SHL2";08/04/03;0;0;;"2.22"
"Suivi des lacs";"Léman";"SHL2";08/04/03;1;1;;"2.72"
"Suivi des lacs";"Léman";"SHL2";08/04/03;2;2;;"2.85"
"Suivi des lacs";"Léman";"SHL2";08/04/03;"3.5";"3.5";;"2.97"
"Suivi des lacs";"Léman";"SHL2";08/04/03;5;5;;"3.94"
"Suivi des lacs";"Léman";"SHL2";08/04/03;"7.5";"7.5";;"12.6"
"Suivi des lacs";"Léman";"SHL2";08/04/03;10;10;;"8.24"
"Suivi des lacs";"Léman";"SHL2";08/04/03;15;15;;"3.96"
"Suivi des lacs";"Léman";"SHL2";08/04/03;20;20;;"1.92"
"Suivi des lacs";"Léman";"SHL2";08/04/03;30;30;;"0.79"
"Suivi des lacs";"Léman";"SHL2";08/20/03;0;0;;"4.04"
"Suivi des lacs";"Léman";"SHL2";08/20/03;1;1;;"4.02"
"Suivi des lacs";"Léman";"SHL2";08/20/03;2;2;;"4.39"
"Suivi des lacs";"Léman";"SHL2";08/20/03;"3.5";"3.5";;"4.52"
"Suivi des lacs";"Léman";"SHL2";08/20/03;5;5;;"4.61"
"Suivi des lacs";"Léman";"SHL2";08/20/03;"7.5";"7.5";;"5.1"
"Suivi des lacs";"Léman";"SHL2";08/20/03;10;10;;"3.91"
"Suivi des lacs";"Léman";"SHL2";08/20/03;15;15;;2
"Suivi des lacs";"Léman";"SHL2";08/20/03;20;20;;"1.17"
"Suivi des lacs";"Léman";"SHL2";08/20/03;30;30;;"0.5"
"Suivi des lacs";"Léman";"SHL2";09/15/03;0;0;;"2.65"
"Suivi des lacs";"Léman";"SHL2";09/15/03;1;1;;"2.83"
"Suivi des lacs";"Léman";"SHL2";09/15/03;2;2;;"2.62"
"Suivi des lacs";"Léman";"SHL2";09/15/03;"3.5";"3.5";;"2.78"
"Suivi des lacs";"Léman";"SHL2";09/15/03;5;5;;"2.86"
"Suivi des lacs";"Léman";"SHL2";09/15/03;"7.5";"7.5";;"3.07"
"Suivi des lacs";"Léman";"SHL2";09/15/03;10;10;;"2.8"
"Suivi des lacs";"Léman";"SHL2";09/15/03;15;15;;"1.83"
"Suivi des lacs";"Léman";"SHL2";09/15/03;20;20;;"1.25"
"Suivi des lacs";"Léman";"SHL2";09/15/03;30;30;;"0.65"
"Suivi des lacs";"Léman";"SHL2";09/29/03;0;0;;"2.74"
"Suivi des lacs";"Léman";"SHL2";09/29/03;1;1;;"2.43"
"Suivi des lacs";"Léman";"SHL2";09/29/03;2;2;;"2.54"
"Suivi des lacs";"Léman";"SHL2";09/29/03;"3.5";"3.5";;"3.22"
"Suivi des lacs";"Léman";"SHL2";09/29/03;5;5;;"2.94"
"Suivi des lacs";"Léman";"SHL2";09/29/03;"7.5";"7.5";;"2.15"
"Suivi des lacs";"Léman";"SHL2";09/29/03;10;10;;"2.53"
"Suivi des lacs";"Léman";"SHL2";09/29/03;15;15;;"1.8"
"Suivi des lacs";"Léman";"SHL2";09/29/03;20;20;;"1.12"
"Suivi des lacs";"Léman";"SHL2";09/29/03;30;30;;"0.5"
"Suivi des lacs";"Léman";"SHL2";10/13/03;0;0;;"3.12"
"Suivi des lacs";"Léman";"SHL2";10/13/03;1;1;;"3.28"
"Suivi des lacs";"Léman";"SHL2";10/13/03;2;2;;"3.41"
"Suivi des lacs";"Léman";"SHL2";10/13/03;"3.5";"3.5";;"3.63"
"Suivi des lacs";"Léman";"SHL2";10/13/03;5;5;;"3.51"
"Suivi des lacs";"Léman";"SHL2";10/13/03;"7.5";"7.5";;"3.41"
"Suivi des lacs";"Léman";"SHL2";10/13/03;10;10;;"3.86"
"Suivi des lacs";"Léman";"SHL2";10/13/03;15;15;;"3.53"
"Suivi des lacs";"Léman";"SHL2";10/13/03;20;20;;"1.65"
"Suivi des lacs";"Léman";"SHL2";10/13/03;30;30;;"0.66"
"Suivi des lacs";"Léman";"SHL2";11/03/03;0;0;;"7.48"
"Suivi des lacs";"Léman";"SHL2";11/03/03;1;1;;"7.83"
"Suivi des lacs";"Léman";"SHL2";11/03/03;2;2;;"8.17"
"Suivi des lacs";"Léman";"SHL2";11/03/03;"3.5";"3.5";;"7.39"
"Suivi des lacs";"Léman";"SHL2";11/03/03;5;5;;"8.2"
"Suivi des lacs";"Léman";"SHL2";11/03/03;"7.5";"7.5";;"7.73"
"Suivi des lacs";"Léman";"SHL2";11/03/03;10;10;;"7.87"
"Suivi des lacs";"Léman";"SHL2";11/03/03;15;15;;"7.49"
"Suivi des lacs";"Léman";"SHL2";11/03/03;20;20;;"8.08"
"Suivi des lacs";"Léman";"SHL2";11/03/03;30;30;;"7.06"
"Suivi des lacs";"Léman";"SHL2";11/18/03;0;0;;"8.74"
"Suivi des lacs";"Léman";"SHL2";11/18/03;1;1;;"8.65"
"Suivi des lacs";"Léman";"SHL2";11/18/03;2;2;;"8.65"
"Suivi des lacs";"Léman";"SHL2";11/18/03;"3.5";"3.5";;"9.69"
"Suivi des lacs";"Léman";"SHL2";11/18/03;5;5;;"9.32"
"Suivi des lacs";"Léman";"SHL2";11/18/03;"7.5";"7.5";;"9.36"
"Suivi des lacs";"Léman";"SHL2";11/18/03;10;10;;"11.76"
"Suivi des lacs";"Léman";"SHL2";11/18/03;15;15;;"5.1"
"Suivi des lacs";"Léman";"SHL2";11/18/03;20;20;;"3.99"
"Suivi des lacs";"Léman";"SHL2";11/18/03;30;30;;"1.77"
"Suivi des lacs";"Léman";"SHL2";12/09/03;0;0;;"3.48"
"Suivi des lacs";"Léman";"SHL2";12/09/03;1;1;;"3.6"
"Suivi des lacs";"Léman";"SHL2";12/09/03;2;2;;"3.55"
"Suivi des lacs";"Léman";"SHL2";12/09/03;"3.5";"3.5";;"3.78"
"Suivi des lacs";"Léman";"SHL2";12/09/03;5;5;;"3.41"
"Suivi des lacs";"Léman";"SHL2";12/09/03;"7.5";"7.5";;"3.49"
"Suivi des lacs";"Léman";"SHL2";12/09/03;10;10;;"3.37"
"Suivi des lacs";"Léman";"SHL2";12/09/03;15;15;;"2.16"
"Suivi des lacs";"Léman";"SHL2";12/09/03;20;20;;"0.69"
"Suivi des lacs";"Léman";"SHL2";12/09/03;30;30;;"0.42"
"Suivi des lacs";"Léman";"SHL2";02/04/04;0;0;;"0.91"
"Suivi des lacs";"Léman";"SHL2";02/04/04;1;1;;"0.94"
"Suivi des lacs";"Léman";"SHL2";02/04/04;2;2;;"0.95"
"Suivi des lacs";"Léman";"SHL2";02/04/04;"3.5";"3.5";;"0.97"
"Suivi des lacs";"Léman";"SHL2";02/04/04;5;5;;"0.96"
"Suivi des lacs";"Léman";"SHL2";02/04/04;"7.5";"7.5";;"1.05"
"Suivi des lacs";"Léman";"SHL2";02/04/04;10;10;;"1.01"
"Suivi des lacs";"Léman";"SHL2";02/04/04;15;15;;"0.98"
"Suivi des lacs";"Léman";"SHL2";02/04/04;20;20;;"0.92"
"Suivi des lacs";"Léman";"SHL2";02/04/04;30;30;;"0.79"
"Suivi des lacs";"Léman";"SHL2";02/25/04;0;0;;"0.62"
"Suivi des lacs";"Léman";"SHL2";02/25/04;1;1;;"0.83"
"Suivi des lacs";"Léman";"SHL2";02/25/04;2;2;;"0.91"
"Suivi des lacs";"Léman";"SHL2";02/25/04;"3.5";"3.5";;"0.88"
"Suivi des lacs";"Léman";"SHL2";02/25/04;5;5;;"0.83"
"Suivi des lacs";"Léman";"SHL2";02/25/04;"7.5";"7.5";;"0.83"
"Suivi des lacs";"Léman";"SHL2";02/25/04;10;10;;"0.86"
"Suivi des lacs";"Léman";"SHL2";02/25/04;15;15;;"0.81"
"Suivi des lacs";"Léman";"SHL2";02/25/04;20;20;;"0.87"
"Suivi des lacs";"Léman";"SHL2";02/25/04;30;30;;"0.88"
"Suivi des lacs";"Léman";"SHL2";03/11/04;0;0;;"1.49"
"Suivi des lacs";"Léman";"SHL2";03/11/04;1;1;;"1.52"
"Suivi des lacs";"Léman";"SHL2";03/11/04;2;2;;"1.56"
"Suivi des lacs";"Léman";"SHL2";03/11/04;"3.5";"3.5";;"1.57"
"Suivi des lacs";"Léman";"SHL2";03/11/04;5;5;;"1.6"
"Suivi des lacs";"Léman";"SHL2";03/11/04;"7.5";"7.5";;"1.54"
"Suivi des lacs";"Léman";"SHL2";03/11/04;10;10;;"1.72"
"Suivi des lacs";"Léman";"SHL2";03/11/04;15;15;;"1.78"
"Suivi des lacs";"Léman";"SHL2";03/11/04;20;20;;"1.57"
"Suivi des lacs";"Léman";"SHL2";03/11/04;30;30;;"1.28"
"Suivi des lacs";"Léman";"SHL2";03/29/04;0;0;;"2.23"
"Suivi des lacs";"Léman";"SHL2";03/29/04;1;1;;"2.29"
"Suivi des lacs";"Léman";"SHL2";03/29/04;2;2;;"2.25"
"Suivi des lacs";"Léman";"SHL2";03/29/04;"3.5";"3.5";;"2.42"
"Suivi des lacs";"Léman";"SHL2";03/29/04;5;5;;"2.34"
"Suivi des lacs";"Léman";"SHL2";03/29/04;"7.5";"7.5";;"2.44"
"Suivi des lacs";"Léman";"SHL2";03/29/04;10;10;;"2.72"
"Suivi des lacs";"Léman";"SHL2";03/29/04;15;15;;"3.08"
"Suivi des lacs";"Léman";"SHL2";03/29/04;20;20;;"2.94"
"Suivi des lacs";"Léman";"SHL2";03/29/04;30;30;;"2.83"
"Suivi des lacs";"Léman";"SHL2";04/14/04;0;0;;"5.48"
"Suivi des lacs";"Léman";"SHL2";04/14/04;1;1;;"6.9"
"Suivi des lacs";"Léman";"SHL2";04/14/04;2;2;;"7.12"
"Suivi des lacs";"Léman";"SHL2";04/14/04;"3.5";"3.5";;"7.44"
"Suivi des lacs";"Léman";"SHL2";04/14/04;5;5;;"7.05"
"Suivi des lacs";"Léman";"SHL2";04/14/04;"7.5";"7.5";;"7.17"
"Suivi des lacs";"Léman";"SHL2";04/14/04;10;10;;"6.86"
"Suivi des lacs";"Léman";"SHL2";04/14/04;15;15;;"7.06"
"Suivi des lacs";"Léman";"SHL2";04/14/04;20;20;;"7.06"
"Suivi des lacs";"Léman";"SHL2";04/14/04;30;30;;"6.26"
"Suivi des lacs";"Léman";"SHL2";04/26/04;0;0;;"4.4"
"Suivi des lacs";"Léman";"SHL2";04/26/04;1;1;;"5.1"
"Suivi des lacs";"Léman";"SHL2";04/26/04;2;2;;"5.17"
"Suivi des lacs";"Léman";"SHL2";04/26/04;"3.5";"3.5";;"5.09"
"Suivi des lacs";"Léman";"SHL2";04/26/04;5;5;;"5.37"
"Suivi des lacs";"Léman";"SHL2";04/26/04;"7.5";"7.5";;"6.16"
"Suivi des lacs";"Léman";"SHL2";04/26/04;10;10;;"6.13"
"Suivi des lacs";"Léman";"SHL2";04/26/04;15;15;;"5.66"
"Suivi des lacs";"Léman";"SHL2";04/26/04;20;20;;"5.73"
"Suivi des lacs";"Léman";"SHL2";04/26/04;30;30;;"1.38"
"Suivi des lacs";"Léman";"SHL2";05/10/04;0;0;;"9.26"
"Suivi des lacs";"Léman";"SHL2";05/10/04;1;1;;"9.15"
"Suivi des lacs";"Léman";"SHL2";05/10/04;2;2;;"10.89"
"Suivi des lacs";"Léman";"SHL2";05/10/04;"3.5";"3.5";;"10.78"
"Suivi des lacs";"Léman";"SHL2";05/10/04;5;5;;"11.27"
"Suivi des lacs";"Léman";"SHL2";05/10/04;"7.5";"7.5";;"10.46"
"Suivi des lacs";"Léman";"SHL2";05/10/04;10;10;;"10.44"
"Suivi des lacs";"Léman";"SHL2";05/10/04;15;15;;"9.06"
"Suivi des lacs";"Léman";"SHL2";05/10/04;20;20;;"7.51"
"Suivi des lacs";"Léman";"SHL2";05/10/04;30;30;;"7.36"
"Suivi des lacs";"Léman";"SHL2";05/25/04;0;0;;"4.27"
"Suivi des lacs";"Léman";"SHL2";05/25/04;1;1;;"4.68"
"Suivi des lacs";"Léman";"SHL2";05/25/04;2;2;;"5.89"
"Suivi des lacs";"Léman";"SHL2";05/25/04;"3.5";"3.5";;"6.82"
"Suivi des lacs";"Léman";"SHL2";05/25/04;5;5;;"6.72"
"Suivi des lacs";"Léman";"SHL2";05/25/04;"7.5";"7.5";;"6.65"
"Suivi des lacs";"Léman";"SHL2";05/25/04;10;10;;"4.81"
"Suivi des lacs";"Léman";"SHL2";05/25/04;15;15;;"4.53"
"Suivi des lacs";"Léman";"SHL2";05/25/04;20;20;;"2.65"
"Suivi des lacs";"Léman";"SHL2";05/25/04;30;30;;"2.06"
"Suivi des lacs";"Léman";"SHL2";06/07/04;0;0;;"2.15"
"Suivi des lacs";"Léman";"SHL2";06/07/04;1;1;;"2.17"
"Suivi des lacs";"Léman";"SHL2";06/07/04;2;2;;"1.69"
"Suivi des lacs";"Léman";"SHL2";06/07/04;"3.5";"3.5";;"2.06"
"Suivi des lacs";"Léman";"SHL2";06/07/04;5;5;;"2.5"
"Suivi des lacs";"Léman";"SHL2";06/07/04;"7.5";"7.5";;"4.77"
"Suivi des lacs";"Léman";"SHL2";06/07/04;10;10;;"5.09"
"Suivi des lacs";"Léman";"SHL2";06/07/04;15;15;;"4.48"
"Suivi des lacs";"Léman";"SHL2";06/07/04;20;20;;"2.86"
"Suivi des lacs";"Léman";"SHL2";06/07/04;30;30;;"0.88"
"Suivi des lacs";"Léman";"SHL2";06/21/04;0;0;;"2.95"
"Suivi des lacs";"Léman";"SHL2";06/21/04;1;1;;"3.69"
"Suivi des lacs";"Léman";"SHL2";06/21/04;2;2;;"5.49"
"Suivi des lacs";"Léman";"SHL2";06/21/04;"3.5";"3.5";;"5.46"
"Suivi des lacs";"Léman";"SHL2";06/21/04;5;5;;"5.89"
"Suivi des lacs";"Léman";"SHL2";06/21/04;"7.5";"7.5";;"5.72"
"Suivi des lacs";"Léman";"SHL2";06/21/04;10;10;;"7.18"
"Suivi des lacs";"Léman";"SHL2";06/21/04;15;15;;"4.01"
"Suivi des lacs";"Léman";"SHL2";06/21/04;20;20;;"2.99"
"Suivi des lacs";"Léman";"SHL2";06/21/04;30;30;;"1.62"
"Suivi des lacs";"Léman";"SHL2";07/06/04;0;0;;"3.22"
"Suivi des lacs";"Léman";"SHL2";07/06/04;1;1;;"3.05"
"Suivi des lacs";"Léman";"SHL2";07/06/04;2;2;;"3.21"
"Suivi des lacs";"Léman";"SHL2";07/06/04;"3.5";"3.5";;"3.36"
"Suivi des lacs";"Léman";"SHL2";07/06/04;5;5;;"6.25"
"Suivi des lacs";"Léman";"SHL2";07/06/04;"7.5";"7.5";;"6.09"
"Suivi des lacs";"Léman";"SHL2";07/06/04;10;10;;"4.26"
"Suivi des lacs";"Léman";"SHL2";07/06/04;15;15;;"2.08"
"Suivi des lacs";"Léman";"SHL2";07/06/04;20;20;;"1.09"
"Suivi des lacs";"Léman";"SHL2";07/06/04;30;30;;"0.82"
"Suivi des lacs";"Léman";"SHL2";07/19/04;0;0;;"1.93"
"Suivi des lacs";"Léman";"SHL2";07/19/04;1;1;;"2.32"
"Suivi des lacs";"Léman";"SHL2";07/19/04;2;2;;"2.44"
"Suivi des lacs";"Léman";"SHL2";07/19/04;"3.5";"3.5";;"2.3"
"Suivi des lacs";"Léman";"SHL2";07/19/04;5;5;;"2.75"
"Suivi des lacs";"Léman";"SHL2";07/19/04;"7.5";"7.5";;"3.06"
"Suivi des lacs";"Léman";"SHL2";07/19/04;10;10;;"5.9"
"Suivi des lacs";"Léman";"SHL2";07/19/04;15;15;;"4.12"
"Suivi des lacs";"Léman";"SHL2";07/19/04;20;20;;"2.71"
"Suivi des lacs";"Léman";"SHL2";07/19/04;30;30;;"1.07"
"Suivi des lacs";"Léman";"SHL2";08/10/04;0;0;;"2.28"
"Suivi des lacs";"Léman";"SHL2";08/10/04;1;1;;"3.35"
"Suivi des lacs";"Léman";"SHL2";08/10/04;2;2;;"3.18"
"Suivi des lacs";"Léman";"SHL2";08/10/04;"3.5";"3.5";;"3.19"
"Suivi des lacs";"Léman";"SHL2";08/10/04;5;5;;"2.68"
"Suivi des lacs";"Léman";"SHL2";08/10/04;"7.5";"7.5";;"4.3"
"Suivi des lacs";"Léman";"SHL2";08/10/04;10;10;;"5.96"
"Suivi des lacs";"Léman";"SHL2";08/10/04;20;20;;"12.44"
"Suivi des lacs";"Léman";"SHL2";08/10/04;30;30;;"6.37"
"Suivi des lacs";"Léman";"SHL2";08/23/04;0;0;;"4.44"
"Suivi des lacs";"Léman";"SHL2";08/23/04;1;1;;"4.74"
"Suivi des lacs";"Léman";"SHL2";08/23/04;2;2;;"5.06"
"Suivi des lacs";"Léman";"SHL2";08/23/04;"3.5";"3.5";;"5.05"
"Suivi des lacs";"Léman";"SHL2";08/23/04;5;5;;"5.63"
"Suivi des lacs";"Léman";"SHL2";08/23/04;"7.5";"7.5";;"5.52"
"Suivi des lacs";"Léman";"SHL2";08/23/04;10;10;;"5.41"
"Suivi des lacs";"Léman";"SHL2";08/23/04;15;15;;"3.81"
"Suivi des lacs";"Léman";"SHL2";08/23/04;20;20;;"4.74"
"Suivi des lacs";"Léman";"SHL2";08/23/04;30;30;;"1.59"
"Suivi des lacs";"Léman";"SHL2";09/06/04;0;0;;"2.88"
"Suivi des lacs";"Léman";"SHL2";09/06/04;1;1;;"3.48"
"Suivi des lacs";"Léman";"SHL2";09/06/04;2;2;;"3.1"
"Suivi des lacs";"Léman";"SHL2";09/06/04;"3.5";"3.5";;"4.49"
"Suivi des lacs";"Léman";"SHL2";09/06/04;5;5;;"5.19"
"Suivi des lacs";"Léman";"SHL2";09/06/04;"7.5";"7.5";;"7.54"
"Suivi des lacs";"Léman";"SHL2";09/06/04;10;10;;"9.76"
"Suivi des lacs";"Léman";"SHL2";09/06/04;15;15;;"3.95"
"Suivi des lacs";"Léman";"SHL2";09/06/04;20;20;;"2.15"
"Suivi des lacs";"Léman";"SHL2";09/06/04;30;30;;"0.88"
"Suivi des lacs";"Léman";"SHL2";09/20/04;0;0;;"8.01"
"Suivi des lacs";"Léman";"SHL2";09/20/04;1;1;;"8.34"
"Suivi des lacs";"Léman";"SHL2";09/20/04;2;2;;"7.85"
"Suivi des lacs";"Léman";"SHL2";09/20/04;"3.5";"3.5";;"8.27"
"Suivi des lacs";"Léman";"SHL2";09/20/04;5;5;;"7.99"
